ServerName,FieldName,CurrentValue,ProposedValue
ah57ndcub04020,Purpose,,Oracle Database Zone
ah57ndcub04020,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04021,System,,T7 Database
ah57ndcub04021,Purpose,,"Oracle database - MMIS - tnhisa1
tnmara1
tnmisa1
tnsuma1
tnsura1"
ah57ndcub04021,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04022,System,,T7 Database
ah57ndcub04022,Purpose,,"Oracle Database - MMIS - tnhism1
tnmarm1
tnmism1
tnsurm1"
ah57ndcub04022,Supportgroup,,MMIS Support INF DBA
ah57ndcub04023,System,,T7 Database
ah57ndcub04023,Purpose,,Oracle Database Zone
ah57ndcub04023,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04024,System,,T7 Database Host
ah57ndcub04024,Purpose,,"Oracle Database Zone

8:31 AM 4/1/2025 Retired per Chad Williams - Anthony Bronsdon"
ah57ndcub04024,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04025,System,,T7 Database Host
ah57ndcub04025,Purpose,,Oracle Database Zone  - IP in test range.
ah57ndcub04025,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04026,System,,T7 Database Host
ah57ndcub04026,Purpose,,NFS Share
ah57ndcub04026,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04026,Managedbygroup,,TENNCARE Enterprise Services
ah57ndcub04026,Maintenanceschedule,,"Quarterly Patching – 2nd Sunday Feb, May, Aug, Nov"
ah57ndcub04027,System,,T7 Database Host
ah57ndcub04027,Purpose,,"Oracle Database Zone - MMIS - T30HISA1, T30MARA1, T30MISA1, T30SURA1"
ah57ndcub04027,Supportgroup,,MMIS Support INF DBA
ah57ndcub04028,System,,T7 Database Host
ah57ndcub04028,Purpose,,"Oracle Database Zone - MMIS - T25HISM1, T25MISM1"
ah57ndcub04028,Supportgroup,,MMIS Support INF DBA
ah57ndcub04029,System,,T7 Database Host
ah57ndcub04029,Purpose,,"Oracle Database Zone - MMIS - T26HISM1, T26MISM1"
ah57ndcub04029,Supportgroup,,MMIS Support INF DBA
ah57ndcub04030,System,,T7 Database Host
ah57ndcub04030,Purpose,,"Oracle Database Zone - MMIS - T27HISM1, T27MISM1, T27MARM1, T27SURM1"
ah57ndcub04030,Supportgroup,,MMIS Support INF DBA
ah57ndcub04031,System,,T7 Database Host
ah57ndcub04031,Purpose,,"Oracle Database Zone - MMIS - TNHIST2, TNMIST2, TNMART2, TNSURT2"
ah57ndcub04031,Supportgroup,,MMIS Support INF DBA
ah57ndcub04032,System,,T7 Database Host
ah57ndcub04032,Purpose,,"Oracle Database Zone - MMIS - T24HISA1, T24MISA1"
ah57ndcub04032,Supportgroup,,MMIS Support INF DBA
ah57ndcub04033,System,,T7 Database Host
ah57ndcub04033,Purpose,,"Oracle Database Zone - MMIS - T25HISA1, T25MISA1"
ah57ndcub04033,Supportgroup,,MMIS Support INF DBA
ah57ndcub04034,System,,T7 Database Host
ah57ndcub04034,Purpose,,"Oracle Database Zone - MMIS - T26HISA1, T26MISA1"
ah57ndcub04034,Supportgroup,,MMIS Support INF DBA
ah57ndcub04035,System,,T7 Database Host
ah57ndcub04035,Purpose,,"Oracle Database Zone - MMIS - T27HISA1, T27MISA1"
ah57ndcub04035,Supportgroup,,MMIS Support INF DBA
ah57ndcub04036,System,,T7 Database Host
ah57ndcub04036,Purpose,,"Oracle Database Zone - MMIS - T28HISA1, T28MARA1, T28MISA1, T28SURA1"
ah57ndcub04036,Supportgroup,,MMIS Support INF DBA
ah57ndcub04037,System,,T7 Database Host
ah57ndcub04037,Purpose,,"Oracle Database Zone - MMIS - T29HISA1, T29MARA1, T29MISA1, T29SURA1"
ah57ndcub04037,Supportgroup,,MMIS Support INF DBA
ah57ndcub04038,System,,T7 Database Host
ah57ndcub04038,Purpose,,"Oracle Database Zone - MMIS - TNHISA3, TNMARA3, TNMISA3, TNSURA3"
ah57ndcub04038,Supportgroup,,MMIS Support INF DBA
ah57ndcub04039,System,,T7 Database Host
ah57ndcub04039,Purpose,,"Oracle Database Zone - MMIS - TNHISM2, TNMISM2"
ah57ndcub04039,Supportgroup,,MMIS Support INF DBA
ah57ndcub04040,System,,T7 Database
ah57ndcub04040,Purpose,,Oracle Database Zone
ah57ndcub04040,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04041,System,,SFTP
ah57ndcub04041,Purpose,,LDOM/Zone
ah57ndcub04041,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04042,System,,SFTP
ah57ndcub04042,Purpose,,LDOM/Zone
ah57ndcub04042,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04043,System,,SFTP
ah57ndcub04043,Purpose,,LDOM/Zone
ah57ndcub04043,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04044,System,,SFTP
ah57ndcub04044,Purpose,,LDOM/Zone
ah57ndcub04044,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04045,System,,SFTP
ah57ndcub04045,Purpose,,LDOM/Zone
ah57ndcub04045,Supportgroup,,Legacy SFTP SW ADMIN
ah57ndcub04046,System,,SFTP
ah57ndcub04046,Purpose,,LDOM/Zone
ah57ndcub04046,Supportgroup,,Legacy SFTP SW ADMIN
ah57ndcub04047,System,,SFTP
ah57ndcub04047,Purpose,,LDOM/Zone
ah57ndcub04047,Supportgroup,,Legacy SFTP SW ADMIN
ah57ndcub04051,System,,T-7 Database Host
ah57ndcub04051,Purpose,,"Oracle Database Zone - ALM/DataStage - Non-Prod - TNALMM1, TNDSGA32, TNDSGU32, TNDSTGA31, TNDSTGT3, TNDSTGU31"
ah57ndcub04051,Supportgroup,,MMIS Support INF DBA
ah57ndcub04052,System,,T7 Database
ah57ndcub04052,Purpose,,Oracle Database Zone
ah57ndcub04052,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04053,System,,T7 Database Host
ah57ndcub04053,Purpose,,"Forgerock Dev

8:31 AM 4/1/2025 Retired per Chad Williams - Anthony Bronsdon"
ah57ndcub04053,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04054,System,,T-7 Database Host
ah57ndcub04054,Purpose,,"Oracle Database Zone - CMOD/FileNet - Non-Prod - ARSDV105, ARSTS105, ARSSB105, IBMCNVNA, IBMCNVND, IBMCNVNS, IBMFNVNA, IBMFNVND, IBMFNVNS, IDBP55NA, IDBP55ND, IDBP55NS"
ah57ndcub04054,Supportgroup,,MMIS Support INF DBA
ah57ndcub04055,System,,T7 Database Host
ah57ndcub04055,Purpose,,Forgerock LDAP
ah57ndcub04055,Supportgroup,,MMIS Support INF UNIX
ah57ndcub04056,System,,T-8 Database Host
ah57ndcub04056,Purpose,,"Interchange DR db - MMIS - TNHISDR, TNMISDR, TNDOCP"
ah57ndcub04056,Supportgroup,,MMIS Support INF DBA
ah57ndcub04057,System,,T-8 Database Host
ah57ndcub04057,Purpose,,"Interchange Data Warehouse (DR) - MMIS - TNMARDR, TNSURDR"
ah57ndcub04057,Supportgroup,,MMIS Support INF DBA
ah57ndcub04058,System,,T7 Database Host
ah57ndcub04058,Purpose,,Oracle Database
ah57ndcub04058,Supportgroup,,MMIS Support INF DBA
ah57ndcub04059,System,,T7 Database Host
ah57ndcub04059,Purpose,,"Oracle Database Zone - MMIS - HIS21DE, MIS21DE"
ah57ndcub04059,Supportgroup,,MMIS Support INF DBA
ah57ndcub04060,System,,T8 Database Host
ah57ndcub04060,Purpose,,Oracle Database - SAS - DR - SASDR
ah57ndcub04060,Supportgroup,,MMIS Support INF DBA
ah57ndcuh04001,System,,T7 Database Host
ah57ndcuh04001,Purpose,,Oracle Database Host
ah57ndcuh04001,Supportgroup,,MMIS Support INF UNIX
ah57ndcuh04002,System,,T7 Database Host
ah57ndcuh04002,Purpose,,Oracle Database Host
ah57ndcuh04002,Supportgroup,,MMIS Support INF UNIX
ah57ndcuh04003,System,,SFTP
ah57ndcuh04003,Purpose,,LDOM/Zone Host
ah57ndcuh04003,Supportgroup,,MMIS Support INF UNIX
ah57ndcuh04004,System,,SFTP
ah57ndcuh04004,Purpose,,LDOM/Zone Host
ah57ndcuh04004,Supportgroup,,MMIS Support INF UNIX
ah57ndcuh04005,System,,T8 Database Host
ah57ndcuh04005,Purpose,,T8 Oracle Host
ah57ndcuh04005,Supportgroup,,MMIS Support INF UNIX
ah57ndcwa00051,System,,Code Management
ah57ndcwa00051,Purpose,,Code Management - OS patching can restart without app admin assistance.
ah57ndcwa00051,Supportgroup,,CODE MANAGEMENT SW ADMIN
ah57ndcwa00052,System,,Siebel
ah57ndcwa00052,Purpose,,Siebel 2016
ah57ndcwa00052,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00053,System,,Siebel
ah57ndcwa00053,Purpose,,Siebel 2016
ah57ndcwa00053,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00054,System,,Siebel
ah57ndcwa00054,Purpose,,Siebel 2016
ah57ndcwa00054,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00055,System,,Siebel
ah57ndcwa00055,Purpose,,Siebel 2016
ah57ndcwa00055,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00056,System,,Siebel
ah57ndcwa00056,Purpose,,Siebel 2016 App
ah57ndcwa00056,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00057,System,,Siebel
ah57ndcwa00057,Purpose,,Siebel 2016 App
ah57ndcwa00057,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00058,System,,Siebel
ah57ndcwa00058,Purpose,,Siebel 2016 App
ah57ndcwa00058,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00095,System,,PAM
ah57ndcwa00095,Purpose,,CA Authentication
ah57ndcwa00095,Supportgroup,,PAM SW Admin
ah57ndcwa00104,System,,Siebel
ah57ndcwa00104,Purpose,,Siebel Web/App
ah57ndcwa00104,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00105,System,,Siebel
ah57ndcwa00105,Purpose,,Siebel Web/App
ah57ndcwa00105,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00106,System,,Siebel
ah57ndcwa00106,Purpose,,Siebel Application
ah57ndcwa00106,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00107,System,,Siebel
ah57ndcwa00107,Purpose,,Siebel Application
ah57ndcwa00107,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00108,System,,Siebel
ah57ndcwa00108,Purpose,,Siebel Application
ah57ndcwa00108,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00109,System,,Siebel
ah57ndcwa00109,Purpose,,Siebel Reports/App
ah57ndcwa00109,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcwa00164,System,,Appeon
ah57ndcwa00164,Purpose,,PowerServer App 1
ah57ndcwa00164,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcwa00165,System,,Appeon
ah57ndcwa00165,Purpose,,PowerServer App 2
ah57ndcwa00165,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcwa00166,System,,Appeon
ah57ndcwa00166,Purpose,,PowerServer App 3
ah57ndcwa00166,Supportgroup,,APPEON SW ADMIN
ah57ndcwa00202,System,,Appeon
ah57ndcwa00202,Purpose,,PowerServer App 1
ah57ndcwa00202,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcwa00203,System,,Appeon
ah57ndcwa00203,Purpose,,PowerServer App 2
ah57ndcwa00203,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcwa20001,System,,AGM
ah57ndcwa20001,Purpose,,AGM Synchronizer
ah57ndcwa20001,Supportgroup,,ALM SW ADMIN
ah57ndcwa20003,System,,ALM
ah57ndcwa20003,Purpose,,ALM Synchronizer
ah57ndcwa20003,Supportgroup,,ALM SW ADMIN
ah57ndcwa20004,System,,ALM
ah57ndcwa20004,Purpose,,ALM Node
ah57ndcwa20004,Supportgroup,,ALM SW ADMIN
ah57ndcwa20005,System,,ALM
ah57ndcwa20005,Purpose,,Lab Manager
ah57ndcwa20005,Supportgroup,,ALM SW ADMIN
ah57ndcwa20006,System,,ALM
ah57ndcwa20006,Purpose,,Host 1
ah57ndcwa20006,Supportgroup,,ALM SW ADMIN
ah57ndcwa20007,System,,ALM
ah57ndcwa20007,Purpose,,Host 2
ah57ndcwa20007,Supportgroup,,ALM SW ADMIN
ah57ndcww00030,System,,Datastage
ah57ndcww00030,Purpose,,Web/App Server
ah57ndcww00030,Supportgroup,,DATASTAGE SW ADMIN
ah57ndcww00034,System,,Siebel
ah57ndcww00034,Purpose,,Siebel 2016 Web Server
ah57ndcww00034,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcww00035,System,,Siebel
ah57ndcww00035,Purpose,,Siebel 2016 Web Server
ah57ndcww00035,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcww00036,System,,Siebel
ah57ndcww00036,Purpose,,Siebel 2016 Web Server
ah57ndcww00036,Supportgroup,,MMIS Support Backend Apps Siebel
ah57ndcww00040,System,,Appeon
ah57ndcww00040,Purpose,,Interchange Web Server
ah57ndcww00040,Supportgroup,,APPEON SW ADMIN
ah57ndcww00063,System,,Datastage
ah57ndcww00063,Purpose,,App/Web Server
ah57ndcww00063,Supportgroup,,MMIS Support Data Warehouse DataStage
ah57ndcww00069,System,,Appeon
ah57ndcww00069,Purpose,,PowerServer Web
ah57ndcww00069,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww00119,System,,Appeon
ah57ndcww00119,Purpose,,PowerServer Web
ah57ndcww00119,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww00120,System,,Appeon
ah57ndcww00120,Purpose,,PowerServer Web
ah57ndcww00120,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww01080,System,,EPLS
ah57ndcww01080,Purpose,,EPLS Test Server
ah57ndcww01080,Supportgroup,,EPLS SW ADMIN
ah57ndcww01084,System,,SURS - Surveillance and Utilization Revi
ah57ndcww01084,Purpose,,SURS Web / App
ah57ndcww01084,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww01086,System,,TPM - Trading Partner Management
ah57ndcww01086,Purpose,,EDI Trading Partner Web Server
ah57ndcww01086,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww01088,System,,HIE - Health Information Exchange
ah57ndcww01088,Purpose,,HIE Web Server
ah57ndcww01088,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww01090,System,,TMSIS - Transformed Medicaid Statistical
ah57ndcww01090,Purpose,,TMSIS Web
ah57ndcww01090,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
AH57NDCWW01152,System,,TCOS
AH57NDCWW01152,Purpose,,Web Server
AH57NDCWW01152,Supportgroup,,TCOS SW ADMIN
AH57NDCWW01153,System,,TCOS
AH57NDCWW01153,Purpose,,Web Server
AH57NDCWW01153,Supportgroup,,TCOS SW ADMIN
ah57ndcww01154,System,,TCOS
ah57ndcww01154,Purpose,,Web Server
ah57ndcww01154,Supportgroup,,TCOS SW ADMIN
ah57ndcww01155,System,,Visual Application
ah57ndcww01155,Purpose,,EDI Trading Partner Web Server
ah57ndcww01155,Supportgroup,,VISUAL APP SW ADMIN
ah57ndcww01156,System,,Visual Application
ah57ndcww01156,Purpose,,SURS Web Server
ah57ndcww01156,Supportgroup,,VISUAL APP SW ADMIN
ah57ndcww01157,System,,Visual Application
ah57ndcww01157,Purpose,,HIE Web Server
ah57ndcww01157,Supportgroup,,VISUAL APP SW ADMIN
ah57ndcww01158,System,,Visual Application
ah57ndcww01158,Purpose,,TMSIS_CMS Web Server
ah57ndcww01158,Supportgroup,,VISUAL APP SW ADMIN
AH57NDCWW01165,System,,Online Systems
AH57NDCWW01165,Purpose,,OS Web / App
AH57NDCWW01165,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww01166,System,,Online Systems
ah57ndcww01166,Purpose,,OS Web / App
ah57ndcww01166,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcww01167,System,,Online Systems
ah57ndcww01167,Purpose,,OS Web / App
ah57ndcww01167,Supportgroup,,MMIS Support Visual Apps Visual Apps (Appeon/TCOS/PWB/.NET)
ah57ndcwx00001,System,,Decision Analytics
ah57ndcwx00001,Purpose,,DR for Prod Cluster 1
ah57ndcwx00001,Supportgroup,,MMIS Support Decision Analytics Dashboard
ah57ndcwx00002,System,,Decision Analytics
ah57ndcwx00002,Purpose,,DR for Prod Cluster 2
ah57ndcwx00002,Supportgroup,,MMIS Support Decision Analytics Dashboard
ah57sdcla00002,System,,ATP
ah57sdcla00002,Purpose,,IIB App Server  - OS patching can restart without app admin assistance.
ah57sdcla00002,Supportgroup,,ATP SW ADMIN
ah57sdcla00003,System,,ATP
ah57sdcla00003,Purpose,,IIB App Server  - OS patching can restart without app admin assistance.
ah57sdcla00003,Supportgroup,,ATP SW ADMIN
ah57sdcla00061,System,,Code Management
ah57sdcla00061,Purpose,,Code Management Build Server - OS patching can restart without app admin assistance.
ah57sdcla00061,Supportgroup,,MMIS Support Backend Apps DevOps
ah57sdcla00062,System,,Code Management
ah57sdcla00062,Purpose,,Code Management Repository Server - OS patching can restart without app admin assistance.
ah57sdcla00062,Supportgroup,,MMIS Support Backend Apps DevOps
ah57sdcla00065,System,,ATP
ah57sdcla00065,Purpose,,Oracle Audit Vault
ah57sdcla00065,Supportgroup,,OAV SW ADMIN
ah57sdcla00066,System,,Autosys
ah57sdcla00066,Purpose,,Autosys App
ah57sdcla00066,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00067,System,,Autosys
ah57sdcla00067,Purpose,,Autosys App
ah57sdcla00067,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00068,System,,Autosys
ah57sdcla00068,Purpose,,Autosys App
ah57sdcla00068,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00069,System,,Autosys
ah57sdcla00069,Purpose,,Autosys App
ah57sdcla00069,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00070,System,,Autosys
ah57sdcla00070,Purpose,,Autosys App
ah57sdcla00070,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00071,System,,Autosys
ah57sdcla00071,Purpose,,Autosys App
ah57sdcla00071,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00072,System,,IBM License Metric Tool (IBM LMT)
ah57sdcla00072,Purpose,,IBM Licensing Server
ah57sdcla00072,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00080,System,,TMSIS Common Solutions
ah57sdcla00080,Purpose,,App Server
ah57sdcla00080,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00081,System,,TMSIS Common Solutions
ah57sdcla00081,Purpose,,App Server
ah57sdcla00081,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00082,System,,TMSIS Common Solutions
ah57sdcla00082,Purpose,,App Server
ah57sdcla00082,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00083,System,,TMSIS Common Solutions
ah57sdcla00083,Purpose,,App Server
ah57sdcla00083,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00095,System,,FileNet Enterprise
ah57sdcla00095,Purpose,,Filenet CPE Web 1 - OS patching can restart without app admin assistance.
ah57sdcla00095,Supportgroup,,MMIS Support Backend Apps Filenet
ah57sdcla00096,System,,FileNet
ah57sdcla00096,Purpose,,Filenet CPE Web 2 - OS patching can restart without app admin assistance.
ah57sdcla00096,Supportgroup,,MMIS Support Backend Apps Filenet
ah57sdcla00102,System,,TMSIS Common Solutions
ah57sdcla00102,Purpose,,App Server
ah57sdcla00102,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00112,System,,Code Management
ah57sdcla00112,Purpose,,RH Build Box
ah57sdcla00112,Supportgroup,,MMIS Support Backend Apps DevOps
ah57sdcla00113,System,,Code Management
ah57sdcla00113,Purpose,,Scanning
ah57sdcla00113,Supportgroup,,MMIS Support Backend Apps DevOps
ah57sdcla00114,System,,Code Management
ah57sdcla00114,Purpose,,RH Build Box
ah57sdcla00114,Supportgroup,,MMIS Support Backend Apps DevOps
ah57sdcla00115,System,,Code Management
ah57sdcla00115,Purpose,,Scanning
ah57sdcla00115,Supportgroup,,MMIS Support Backend Apps DevOps
ah57sdcla00127,System,,SOA DEV (RHEL8)
ah57sdcla00127,Purpose,,IBM ACE
ah57sdcla00127,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00128,System,,SOA DEV (RHEL8)
ah57sdcla00128,Purpose,,IBM WAS
ah57sdcla00128,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00129,System,,SOA DEV (RHEL8)
ah57sdcla00129,Purpose,,IBM BAW
ah57sdcla00129,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00130,System,,SOA DEV (RHEL8)
ah57sdcla00130,Purpose,,Progress Corticon
ah57sdcla00130,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00131,System,,SOA DEV (RHEL8)
ah57sdcla00131,Purpose,,IBMWSRR
ah57sdcla00131,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00132,System,,SOA Sandbox (RHEL8)
ah57sdcla00132,Purpose,,SOA Sandbox
ah57sdcla00132,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00133,System,,SOA TEST (RHEL 8)
ah57sdcla00133,Purpose,,IBM ACE
ah57sdcla00133,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00134,System,,SOA TEST (RHEL 8)
ah57sdcla00134,Purpose,,IBM WAS
ah57sdcla00134,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00135,System,,SOA TEST (RHEL 8)
ah57sdcla00135,Purpose,,IBM BAW
ah57sdcla00135,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00136,System,,SOA TEST (RHEL 8)
ah57sdcla00136,Purpose,,Progress Corticon
ah57sdcla00136,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00137,System,,SOA TEST (RHEL 8)
ah57sdcla00137,Purpose,,IBMWSRR
ah57sdcla00137,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00138,System,,SOA UAT (RHEL8)
ah57sdcla00138,Purpose,,IBM ACE
ah57sdcla00138,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00139,System,,SOA UAT (RHEL8)
ah57sdcla00139,Purpose,,IBM WAS
ah57sdcla00139,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00140,System,,SOA UAT (RHEL8)
ah57sdcla00140,Purpose,,IBM BAW
ah57sdcla00140,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00141,System,,SOA UAT (RHEL8)
ah57sdcla00141,Purpose,,Progress Corticon
ah57sdcla00141,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00142,System,,SOA UAT (RHEL8)
ah57sdcla00142,Purpose,,IBMWSRR
ah57sdcla00142,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00143,System,,Managed File Transfer
ah57sdcla00143,Purpose,,MFT - Hosts the SFG application for managed file transfer
ah57sdcla00143,Supportgroup,,MMIS Support EDI SFG/Sterling
ah57sdcla00144,System,,Managed File Transfer
ah57sdcla00144,Purpose,,MFT - Hosts the SFG application for managed file transfer
ah57sdcla00144,Supportgroup,,MMIS Support EDI SFG/Sterling
ah57sdcla00145,System,,Managed File Transfer
ah57sdcla00145,Purpose,,MFT - Hosts the SFG application for managed file transfer
ah57sdcla00145,Supportgroup,,MMIS Support EDI SFG/Sterling
ah57sdcla00146,System,,Managed File Transfer
ah57sdcla00146,Purpose,,MFT - Hosts the SFG application for managed file transfer
ah57sdcla00146,Supportgroup,,MMIS Support EDI SFG/Sterling
ah57sdcla00147,System,,Autosys
ah57sdcla00147,Purpose,,Autosys App
ah57sdcla00147,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00148,System,,Autosys
ah57sdcla00148,Purpose,,Autosys App
ah57sdcla00148,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00149,System,,Autosys
ah57sdcla00149,Purpose,,Autosys App
ah57sdcla00149,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00150,System,,Autosys
ah57sdcla00150,Purpose,,Autosys App
ah57sdcla00150,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00151,System,,Autosys
ah57sdcla00151,Purpose,,Autosys App
ah57sdcla00151,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00152,System,,Autosys
ah57sdcla00152,Purpose,,Autosys App
ah57sdcla00152,Supportgroup,,MMIS Support INF UNIX
ah57sdcla00153,System,,SOA Stage (RHEL8)
ah57sdcla00153,Purpose,,IBM ACE
ah57sdcla00153,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00154,System,,SOA Stage (RHEL8)
ah57sdcla00154,Purpose,,IBM ACE
ah57sdcla00154,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00155,System,,SOA Stage (RHEL8)
ah57sdcla00155,Purpose,,IBM WAS
ah57sdcla00155,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00156,System,,SOA Stage (RHEL8)
ah57sdcla00156,Purpose,,IBM WAS
ah57sdcla00156,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00157,System,,SOA Stage (RHEL8)
ah57sdcla00157,Purpose,,IBM BAW
ah57sdcla00157,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00158,System,,SOA Stage (RHEL8)
ah57sdcla00158,Purpose,,IBM BAW
ah57sdcla00158,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00159,System,,SOA Stage (RHEL8)
ah57sdcla00159,Purpose,,Progress Corticon
ah57sdcla00159,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00160,System,,SOA Stage (RHEL8)
ah57sdcla00160,Purpose,,Progress Corticon
ah57sdcla00160,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00161,System,,SOA Stage (RHEL8)
ah57sdcla00161,Purpose,,IBM WSRR
ah57sdcla00161,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00162,System,,SOA Stage (RHEL8)
ah57sdcla00162,Purpose,,IBM WSRR
ah57sdcla00162,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00163,System,,TMSIS Common Solutions
ah57sdcla00163,Purpose,,App Server
ah57sdcla00163,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00164,System,,TMSIS Common Solutions
ah57sdcla00164,Purpose,,App Server
ah57sdcla00164,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00165,System,,TMSIS Common Solutions
ah57sdcla00165,Purpose,,App Server
ah57sdcla00165,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00166,System,,TMSIS Common Solutions
ah57sdcla00166,Purpose,,App Server
ah57sdcla00166,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00167,System,,TMSIS Common Solutions
ah57sdcla00167,Purpose,,App Server
ah57sdcla00167,Supportgroup,,MMIS Support Data Warehouse TMSIS
ah57sdcla00168,System,,SOA Production-DR (RHEL8)
ah57sdcla00168,Purpose,,IBM ACE
ah57sdcla00168,Supportgroup,,MMIS Support SOA - SOA
ah57sdcla00169,System,,SOA Production-DR (RHEL8)
ah57sdcla00169,Purpose,,IBM ACE
ah57sdcla00169,Supportgroup,,MMIS Support SOA - SOA
