ServerName,FieldName,CurrentValue,ProposedValue
ah57c00la04012,Purpose,,EOC (Corticon)
ah57c00la04012,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00la04013,System,,Azure Analytics
ah57c00la04013,Purpose,,EOC (Corticon)
ah57c00la04013,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00la04014,System,,Azure Analytics
ah57c00la04014,Purpose,,Splunk Heavy Forwarder
ah57c00la04014,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00la04015,System,,CrowdStrike (SIEM) for Arcsight
ah57c00la04015,Purpose,,Security
ah57c00la04015,Supportgroup,,Azure SW Admin GWT
ah57c00la04016,System,,Security
ah57c00la04016,Purpose,,Security
ah57c00la04016,Supportgroup,,Azure SW Admin GWT
ah57c00wa04001,System,,Tableau
ah57c00wa04001,Purpose,,Azure Analytics
ah57c00wa04001,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00wa04002,System,,ETL
ah57c00wa04002,Purpose,,Azure Analytics
ah57c00wa04002,Supportgroup,,Azure SW Admin GWT
ah57c00wa04003,System,,Analytics
ah57c00wa04003,Purpose,,Azure Analytics
ah57c00wa04003,Supportgroup,,Azure SW Admin GWT
ah57c00wa04008,System,,Tableau
ah57c00wa04008,Purpose,,Azure Analytics
ah57c00wa04008,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00wa04009,System,,Tableau
ah57c00wa04009,Purpose,,Azure Analytics
ah57c00wa04009,Supportgroup,,Azure SW Admin GWT
ah57c00wa04010,System,,Qlik Compose
ah57c00wa04010,Purpose,,ETL
ah57c00wa04010,Supportgroup,,Azure SW Admin GWT
ah57c00wa04011,System,,Access
ah57c00wa04011,Purpose,,Azure Analytics
ah57c00wa04011,Supportgroup,,Azure SW Admin GWT
ah57c00wa04101,System,,Primary Mid-Server for SNOW Discovery
ah57c00wa04101,Purpose,,Azure Analytics
ah57c00wa04101,Supportgroup,,ServiceNow Tier 2 Support
ah57c00wa04105,System,,DA Data Science VM Python
ah57c00wa04105,Purpose,,Azure Analytics
ah57c00wa04105,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00wa04301,System,,Secondary Mid-Server for SNOW Discovery
ah57c00wa04301,Purpose,,Azure Analytics
ah57c00wa04301,Supportgroup,,ServiceNow Tier 2 Support
ah57c00wa4201,System,,Analysis Services Gateway
ah57c00wa4201,Purpose,,Azure Analytics
ah57c00wa4201,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00wa4202,System,,Reporting
ah57c00wa4202,Purpose,,Azure Analytics
ah57c00wa4202,Supportgroup,,Azure SW Admin GWT
ah57c00wa4305,System,,Analysis Services Gateway
ah57c00wa4305,Purpose,,Azure Analytics
ah57c00wa4305,Supportgroup,,MMIS Support Data Warehouse Azure
ah57c00ww04001,System,,IIS Web App / BPM Portals
ah57c00ww04001,Purpose,,Azure Analytics
ah57c00ww04001,Supportgroup,,Azure SW Admin GWT
ah57c00ww04002,System,,IIS Web App / BPM Portals
ah57c00ww04002,Purpose,,Azure Analytics
ah57c00ww04002,Supportgroup,,Azure SW Admin GWT
ah57ndcla00004,System,,ATP
ah57ndcla00004,Purpose,,IIB App Server - Uses IPTables - OS patching can restart without app admin assistance.
ah57ndcla00004,Supportgroup,,ATP SW ADMIN
ah57ndcla00005,System,,ATP
ah57ndcla00005,Purpose,,IIB App Server - Uses IPTables - OS patching can restart without app admin assistance.
ah57ndcla00005,Supportgroup,,ATP SW ADMIN
ah57ndcla00008,System,,ATP
